item,creatures,npc,npc_price,qty
Fur Armor,"Adult Goanna,Blemished Spawn,Capricious Phantom,Cave Chimera,Cunning Werepanther,Girtablilu Warrior,Lumbering Carnivor,Raubritter Skirmisher,Rotten Golem,Sun-marked Goanna,Turbulent Elemental,Varnished Diremaw,Werebear,Wereboar,Werecrocodile,Werepanther,Young Goanna,Bloodback,Feroxa,Michael the Stalwart,Owin,Shadowpelt",Outro,5000,14-17
Gauze Bandage,"Animated Mummy,Elder Mummy,Mummy,Mahatheb",Yasir,90,54-84
Ghastly Dragon Head,"Ghastly Dragon,Ethershreck,Hatebreeder",Yasir,700,47-50
Giant Pacifier,"Animated Moohtant,Moohtant,Bullwark,Moohtant Wallbreaker",Outro,170,25-50
Giant Tusk,"Creepy Crawler,Crypt Fiend",Outro,6000,58-63
Girlish Hair Decoration,"Amazon,Valkyrie",Yasir,30,27-44
Girtablilu Warrior Carapace,Girtablilu Warrior,Yasir,520,10-19
Glacier Mask,"Animated Feather,Animated Snowman,Crazed Winter Rearguard,Crystal Spider,Ice Dragon,Ice Golem,Icecold Book,Memory of a Dwarf,Monk's Apparition,Mycobiontic Beetle,Paladin's Apparition,Seacrest Serpent,Squid Warden,Earl Osam,Gelidrazah the Frozen,Hirintror,Neferi the Spy,Shardhead,The Bloodweb,Zushuka",Rashid,2500,56-100
Glacier Robe,"Crazed Winter Rearguard,Crazed Winter Vanguard,Druid's Apparition,Girtablilu Warrior,Goggle Cake,Hazardous Phantom,Icecold Book,Many Faces,Quara Pincher,Quara Predator,Quara Raider,Renegade Quara Pincher,Renegade Quara Predator,Schiach,Squid Warden,Tremendous Tyrant,Turbulent Elemental,Court Warlock,King Zelos,Srezz Yellow Eyes,Tarbaz,The Time Guardian,The Winter Bloom,Utua Stone Sting,Yakchal,Zushuka",Rashid,11000,11-20
Glacier Shoes,"Bluebeak,Foam Stalker,Ice Witch,Icecold Book,Many Faces,Seacrest Serpent,Soul-broken Harbinger,Two-Headed Turtle,Usurper Archer,Varnished Diremaw,Venerable Foam Stalker,Hirintror,Neferi the Spy,Zushuka",Rashid,2500,25-42
Glob of Acid Slime,"Acid Blob,Defiler,Stonerefiner",Outro,25,55-90
Glob of Glooth,"Devourer,Glooth Blob,Rot Elemental",Outro,125,50-92
Glob of Tar,"Death Blob,Defiler",Outro,30,67-97
Glooth Axe,"Blood Beast,Devourer,Glooth Anemone,Glooth Bandit,Glooth Blob,Glooth Brigand,Glooth Golem,Rot Elemental,Glooth Fairy,Lisa",Outro,1500,10-16
Glooth Blade,"Blood Beast,Devourer,Glooth Anemone,Glooth Bandit,Glooth Blob,Glooth Brigand,Glooth Golem,Glooth Fairy,Lisa",Outro,1500,12-19
Glooth Cape,"Devourer,Glooth Anemone,Glooth Bandit,Glooth Fairy,Lisa,Tremor Worm",Outro,7000,14-18
Glooth Club,"Blood Beast,Devourer,Glooth Anemone,Glooth Bandit,Glooth Blob,Glooth Brigand,Glooth Golem,Glooth Fairy,Lisa",Outro,1500,14-20
Glooth Injection Tube,"Glooth Golem,Glooth Fairy",Outro,350,107-195
Glorious Axe,"Bashmu,Bellicose Orger,Enfeebled Silencer,Enraged Crystal Golem,Enslaved Dwarf,Infernal Phantom,Lumbering Carnivor,Mutated Tiger,Orewalker,Silencer,Stone Devourer,Werecrocodile,Werelion,Feroxa,Ghazbaran,Weakened Shlorg",Djinn,3000,30-48
Glowing Rune,"Animated Feather,Biting Book,Brain Squid,Energetic Book,Energuardian of Tales,Guardian of Tales,Knowledge Elemental,Rage Squid,Squid Warden",Yasir,350,301-489
Goanna Claw,"Adult Goanna,Young Goanna",Yasir,260,13-18
Goanna Meat,"Adult Goanna,Sun-marked Goanna,Young Goanna",Yasir,190,104-196
Golden Legs,"Angry Demon,Dark Torturer,Demon,Fury,Rootthing Bug Tracker,Vexclaw,Arbaziloth,Ferumbras,Ferumbras Mortal Shell,Gaz'Haragoth,Ghazbaran,Golgordan,Hellgorak,Horadron,Latrivan,Minishabaal,Morgaroth,Orshabaal,Ragiaz,Realityquake,Rotrender Scourge of Azzilon,World Devourer",Rashid,30000,5-10
Golden Lotus Brooch,"Dawnfire Asura,Frost Flower Asura,Midnight Asura,True Dawnfire Asura,True Frost Flower Asura,True Midnight Asura,Kusuma,The Blazing Rose,The Diamond Blossom,The Flaming Orchid,The Lily of Night,The Moonlight Aster,The Winter Bloom",Yasir,270,58-81
Golden Sickle,"Angry Demon,Blightwalker,Boogy,Cunning Werepanther,Demon,Priestess of the Wild Sun,Werepanther,Arbaziloth,Arbaziloth (Hard),Latrivan,Orshabaal,Rotrender Scourge of Azzilon",Outro,1000,54-83
Golden Sun Coin,"Feral Werecrocodile,Werecrocodile,Ayana The Crimson Curse",Yasir,11000,11-15
Gore Horn,Gore Horn,Outro,2900,51-86
Gorerilla Mane,Gorerilla,Outro,2750,36-44
Gorerilla Tail,Gorerilla,Outro,2650,48-48
Gorger Antlers,Gorger Inferniarch,Yasir,2250,11-18
Grappling Hook,Pirat Scoundrel,Outro,150,54-88
Green Bandage,Putrid Mummy,Yasir,180,33-49
Guardian Shield,"Burning Book,Choking Fear,Cult Enforcer,Demon Skeleton,Diabolic Imp,Energy Elemental,Enslaved Dwarf,Fire Devil,Knowledge Elemental,Lost Berserker,Lost Exile,Lost Husher,Minotaur Invader,Mooh'Tah Warrior,Mutated Tiger,Spiky Carnivor,Undead Minion,Vicious Squire,Annihilon,Minishabaal,Terofar,The Imperor,Tyrn,Zavarash,Zomba,Zulazza the Corruptor",Djinn,2000,65-99
Halberd,"Animated Cyclops,Barbarian Bloodwalker,Cult Enforcer,Cyclops,Cyclops Drone,Foam Stalker,Frost Giant,Golden Servant,Golden Servant Replica,Hacker,Iron Servant,Iron Servant Replica,Lizard Sentinel,Mutated Rat,Orc Berserker,Orc Cult Inquisitor,Quara Mantassin,Quara Pincher,Quara Pincher Scout,Renegade Quara Pincher,Thanatursus,Venerable Foam Stalker,Vicious Squire,Wailing Widow,Werehyaena,Werewolf,Zombie,Annihilon,Black Knight,Esmeralda",Outro,400,76-90
Half-Digested Stones,Stonerefiner,Outro,40,265-353
Half-Eaten Brain,Zombie,Outro,85,25-45
Harpy Feathers,Harpy,Yasir,730,25-43
Headpecker Beak,Headpecker,Outro,2800,30-35
Headpecker Feather,Headpecker,Outro,1300,52-94
Heart Amphora,Norcferatu Heartless,Yasir,930,27-49
Heavy Machete,"Cobra Assassin,Cyclops Smith,Efreet,Marid,Menacing Carnivor,Fahim The Wise,Merikh the Slaughterer",Rashid,90,10-17
